,Título,Zona,Precio,M2,Habitaciones,Baños,Terraza,Amueblado,Parking,Link,Latitud,Longitud,idZona,TerrazaBin
495,Alquiler piso fantástica vivienda de 126 m2 en galvany en Barcelona,Sant Gervasi - Galvany,2070.0,126.0,3,3,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-piso-fantastica_vivienda_de_126_m2_en_galvany_sant_gervasi_galvany-barcelona-i8166003779855.htm?pag=712&f=&geo=p&from=list&lo=55,41.397617,2.141342,26,0
496,Alquiler piso en carrer de begur sants-Badal / c. begur en Barcelona,Badal,890.0,74.0,3,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-sants_badal_c_begur_calle_de_begur_84_badal-barcelona-i500004013340.htm?pag=709&f=&geo=p&from=list&lo=55,41.37186,2.13161,17,0
497,Alquiler apartamento magnifico piso en avenida diagonal en Barcelona,Les Corts,2950.0,250.0,5,3,nan,,,https://www.habitaclia.com/alquiler-apartamento-magnifico_piso_en_avenida_diagonal_les_corts-barcelona-i8166003780002.htm?pag=712&f=&geo=p&from=list&lo=55,41.390833,2.138143,19,0
498,Alquiler piso  con balcón reformado en villarroel en Barcelona,Esquerra Baixa de l´Eixample,1475.0,110.0,3,2,nan,,,https://www.habitaclia.com/alquiler-piso-con_balcon_reformado_en_villarroel_esquerra_baixa_de_l_eixample-barcelona-i8166003779280.htm?pag=709&f=&geo=p&from=list&lo=55,41.383383,2.159448,09,0
499,Alquiler piso en Sant Antoni Barcelona,Sant Antoni,1000.0,70.0,4,2,nan,,,https://www.habitaclia.com/alquiler-piso-sant_antoni-barcelona-i27861003930219.htm?pag=714&f=&geo=p&from=list&lo=55,41.3756849,2.1639888,10,0
500,"Alquiler piso  alto en avenida pau casals de 170m2 reformado. tiene 3 dormitorios y 2 baños. amplio salón-comedor de 40m2 exterior a calle orientado a tarragona. cocina tipo office de 18m2 con lavadero independiente. suelos de parquet, a/a y calefacción de gas en Barcelona",Sant Gervasi - Galvany,2900.0,184.0,3,2,nan,,,https://www.habitaclia.com/alquiler-piso-alto_en_avenida_pau_casals_de_170m2_reformado_tiene_3_dorm_sant_gervasi_galvany-barcelona-i5903001748141.htm?pag=709&f=&geo=p&from=list&lo=55,41.3936057,2.1435475,26,0
501,Alquiler apartamento  de diseño en rambla cataluña en Barcelona,Dreta de l´Eixample,1430.0,55.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-apartamento-de_diseno_en_rambla_cataluna_dreta_de_l_eixample-barcelona-i8166003774984.htm?pag=710&f=&geo=p&from=list&lo=55,41.39353,2.16033,07,0
502,Alquiler piso soleado piso con terraza en eixample en Barcelona,Esquerra Alta de l´Eixample,1100.0,64.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-soleado_con_terraza_en_eixample_esquerra_alta_de_l_eixample-barcelona-i8166003780297.htm?pag=712&f=&geo=p&from=list&lo=55,41.383535,2.146457,08,0
503,"Alquiler piso  de 128 m2 construidos + terraza en alquiler en la zona de les corts. salón-comedor con salida a terraza, cocina-office, habitación de servicio. tres dormitorios, uno de ellos en suite y dos baños con ducha., finca con servicio de conserjería. en Barcelona",Sant Ramon - Maternitat,1700.0,117.0,3,3,nan,,,https://www.habitaclia.com/alquiler-piso-de_128_m2_construidos_terraza_en_en_la_zona_de_l_sant_ramon_maternitat-barcelona-i5903001748074.htm?pag=710&f=&geo=p&from=list&lo=55,41.3864876,2.1247326,20,0
504,"Alquiler piso en josep torres piso céntrico, silencioso, luminoso, ventilado en Barcelona",Vila de Gràcia,950.0,65.0,2,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-centrico_silencioso_luminoso_ventilado_josep_torres_9_vila_de_gracia-barcelona-i500003723703.htm?pag=710&f=&geo=p&from=list&lo=55,41.4007249,2.1613337,31,0
505,Alquiler piso en calle del call piso bohemio en el casco antiguo en Barcelona,Gòtic,1100.0,75.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-bohemio_en_el_casco_antiguo_de_del_call_8_gotic-barcelona-i500003880277.htm?pag=715&f=&geo=p&from=list&lo=55,41.3820433,2.1757032,02,0
506,Alquiler dúplex precioso dúplex a estrenar en marià aguiló en Barcelona,Poblenou,1200.0,70.0,2,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-duplex-precioso_a_estrenar_en_maria_aguilo_poblenou-barcelona-i8166003781029.htm?pag=708&f=&geo=p&from=list&lo=55,41.402767,2.200773,68,0
507,Alquiler piso confortable piso amueblado en pleno eixample en Barcelona,Esquerra Alta de l´Eixample,1300.0,85.0,4,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-confortable_amueblado_en_pleno_eixample_esquerra_alta_de_l_eixample-barcelona-i8166003779929.htm?pag=708&f=&geo=p&from=list&lo=55,41.390771,2.149429,08,0
508,Alquiler piso exclusivo piso reformado en ensanche derecho en Barcelona,Dreta de l´Eixample,2200.0,140.0,3,3,nan,,,https://www.habitaclia.com/alquiler-piso-exclusivo_reformado_en_ensanche_derecho_dreta_de_l_eixample-barcelona-i8166003776418.htm?pag=710&f=&geo=p&from=list&lo=55,41.391397,2.174897,07,0
509,Alquiler piso  muy luminoso en la nova esquerra de l'eixample. en Barcelona,Esquerra Alta de l´Eixample,1000.0,68.0,3,1,nan,,,https://www.habitaclia.com/alquiler-piso-muy_luminoso_en_la_nova_esquerra_de_l_eixample_esquerra_alta_de_l_eixample-barcelona-i8166003780264.htm?pag=712&f=&geo=p&from=list&lo=55,41.385464,2.144491,08,0
510,Alquiler piso ref. 12942-ob en Camp de l´Arpa Barcelona,Camp de l´Arpa,850.0,70.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-ref_12942_ob_camp_de_l_arpa-barcelona-i12677002773270.htm?pag=712&f=&geo=p&from=list&lo=55,41.414095,2.1811184,64,0
511,Alquiler piso maravilloso piso de diseño en paseo de gracia en Barcelona,Dreta de l´Eixample,4500.0,147.0,3,3,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-maravilloso_de_diseno_en_paseo_de_gracia_dreta_de_l_eixample-barcelona-i8166003779099.htm?pag=715&f=&geo=p&from=list&lo=55,41.394595,2.169185,07,0
512,Alquiler piso  de dos habitaciones ameublado en el gotic en Barcelona,Gòtic,1190.0,64.0,2,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-de_dos_habitaciones_ameublado_en_el_gotic_gotic-barcelona-i8166003731617.htm?pag=708&f=&geo=p&from=list&lo=55,41.376739,2.177585,02,0
513,Alquiler apartamento magnifico piso amueblado de lujo en diagonal en Barcelona,Les Corts,3500.0,191.0,3,3,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-apartamento-magnifico_piso_amueblado_de_lujo_en_diagonal_les_corts-barcelona-i8166003771101.htm?pag=708&f=&geo=p&from=list&lo=55,41.390614,2.134884,19,0
514,Alquiler piso precioso piso amueblado y equipado en eixample en Barcelona,Dreta de l´Eixample,1650.0,100.0,2,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-precioso_amueblado_y_equipado_en_eixample_dreta_de_l_eixample-barcelona-i8166003780134.htm?pag=709&f=&geo=p&from=list&lo=55,41.393619,2.173156,07,0
515,Alquiler piso  en alquiler en la playa de la Barceloneta en Barcelona,Barceloneta,750.0,45.0,2,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-en_en_la_playa_de_la_barceloneta_barceloneta-barcelona-i15601003323565.htm?pag=709&f=&geo=p&from=list&lo=55,41.3778326724,2.1893111284,03,0
516,Alquiler dúplex precioso dúplex en primera línea de mar en Barcelona,Diagonal Mar - La Mar Bella,1900.0,85.0,2,2,nan,Amueblado ,Plaza parking ,https://www.habitaclia.com/alquiler-duplex-precioso_en_primera_linea_de_mar_diagonal_mar_la_mar_bella-barcelona-i8166003775530.htm?pag=708&f=&geo=p&from=list&lo=55,41.400874,2.209934,69,0
517,Alquiler apartamento se alquila estudio amueblado y exterior. en Barcelona,Sant Ramon - Maternitat,750.0,30.0,1,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-se_alquila_estudio_amueblado_y_exterior_sant_ramon_maternitat-barcelona-i30466000004890.htm?pag=705&f=&geo=p&from=list&lo=55,41.3779845,2.1163114,20,0
518,Alquiler piso vivienda nueva a estrenar junto hospital clinic!!!! en Barcelona,Esquerra Alta de l´Eixample,1290.0,92.0,3,2,nan,,,https://www.habitaclia.com/alquiler-piso-vivienda_nueva_a_estrenar_junto_hospital_clinic_esquerra_alta_de_l_eixample-barcelona-i32801000000027.htm?pag=708&f=&geo=p&from=list&lo=55,41.3902208,2.1498741,08,0
519,Alquiler piso en Sant Gervasi - Galvany Barcelona,Sant Gervasi - Galvany,1950.0,165.0,4,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-sant_gervasi_galvany-barcelona-i1067004081777.htm?pag=705&f=&geo=p&from=list&lo=55,41.3970646901,2.1514760983000003,26,0
520,Alquiler casa  p.sant felip 200m2 con pisc en Barcelona,Putget - Farró,4000.0,200.0,3,3,nan,Amueblado ,Plaza parking ,https://www.habitaclia.com/alquiler-casa-psant_felip_200m2_con_pisc_putget_farro-barcelona-i586003917191.htm?pag=705&f=&geo=p&from=list&lo=55,41.4032279092,2.1445447727,27,0
521,Alquiler piso encantador piso ubicado en diputació en Barcelona,Esquerra Baixa de l´Eixample,1900.0,120.0,3,2,nan,Amueblado ,Plaza parking ,https://www.habitaclia.com/alquiler-piso-encantador_ubicado_en_diputacio_esquerra_baixa_de_l_eixample-barcelona-i8166003778313.htm?pag=708&f=&geo=p&from=list&lo=55,41.385252,2.160207,09,0
522,Alquiler apartamento  con una decoración acogedora y contemporánea. en Barcelona,Sant Antoni,5025.0,110.0,2,2,nan,,,https://www.habitaclia.com/alquiler-apartamento-con_una_decoracion_acogedora_y_contemporanea_sant_antoni-barcelona-i30466000005475.htm?pag=705&f=&geo=p&from=list&lo=55,41.3788741,2.1546829,10,0
523,Alquiler apartamento moderno piso de 3 habitaciones en Barcelona,Sarrià,990.0,71.0,3,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-moderno_piso_de_3_habitaciones_sarria-barcelona-i31032004064831.htm?pag=706&f=&geo=p&from=list&lo=55,41.4014735392,2.1220989097,23,0
524,"Alquiler piso fántastico piso ubicado en calle passieg disabel ii, con una superficie de 120 m² y terraza comunitaria con piscina junto a port vell. el piso dispone de 3 dormitorios y 2 baños. en Barcelona",St. Pere - Sta. Caterina - El Born,6000.0,120.0,3,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-fantastico_ubicado_en_calle_passieg_disabel_ii_con_una_sup_st_pere_sta_caterina_el_born-barcelona-i5903001747705.htm?pag=706&f=&geo=p&from=list&lo=55,41.3821544,2.1830815,04,0
525,"Alquiler piso fantástico piso en alquiler en turó parc en la calle bori i fontestà. tiene una superficie de 102m², dispone de 3 habitaciones y 2 baños. cocina equipada y lavadero. suelos de parquet, aire acondicionado y calefacción. en Barcelona",Sant Gervasi - Galvany,1890.0,102.0,3,2,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-piso-fantastico_en_en_turo_parc_en_la_calle_bori_i_font_sant_gervasi_galvany-barcelona-i5903001748128.htm?pag=706&f=&geo=p&from=list&lo=55,41.3923142,2.1363841,26,0
526,"Alquiler estudio moderno piso en alquiler temporal con terraza privada en pleno eixample. tiene una superficie de 80m² y dispone de dos dormitorios dobles en suite. ubicado en calle aragon, cerca de varios servicios de transporte, restaurantes y comercios. en Barcelona",Dreta de l´Eixample,1850.0,80.0,2,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-estudio-moderno_piso_en_temporal_con_terraza_privada_en_pleno_e_dreta_de_l_eixample-barcelona-i5903001747938.htm?pag=706&f=&geo=p&from=list&lo=55,41.3902826,2.1629603,07,0
527,Alquiler piso acogedor piso en la nova esquerra en Barcelona,Esquerra Alta de l´Eixample,1100.0,67.0,3,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-acogedor_en_la_nova_esquerra_esquerra_alta_de_l_eixample-barcelona-i8166003780324.htm?pag=705&f=&geo=p&from=list&lo=55,41.385099,2.148889,08,0
528,Alquiler piso estupendo piso con terraza en ciutat vella en Barcelona,Raval,1250.0,68.0,2,1,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-piso-estupendo_con_terraza_en_ciutat_vella_raval-barcelona-i8166003781125.htm?pag=704&f=&geo=p&from=list&lo=55,41.376431,2.168005,01,0
529,"Alquiler piso luminoso, espacioso y perfecto para compartir en Barcelona",St. Pere - Sta. Caterina - El Born,1350.0,46.0,2,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-luminoso_espacioso_y_perfecto_para_compartir_st_pere_sta_caterina_el_born-barcelona-i8166003778198.htm?pag=704&f=&geo=p&from=list&lo=55,41.384862,2.17936,04,0
530,Alquiler apartamento elegante piso de 2 dormitorios en eixample en Barcelona,Dreta de l´Eixample,1300.0,60.0,2,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-apartamento-elegante_piso_de_2_dormitorios_en_eixample_dreta_de_l_eixample-barcelona-i8166003781003.htm?pag=704&f=&geo=p&from=list&lo=55,41.392418,2.174106,07,0
531,Alquiler apartamento  moderno de 1 dormitorio cerca de la playa en Barcelona,Gòtic,1146.0,40.0,1,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-moderno_de_1_dormitorio_cerca_de_la_playa_gotic-barcelona-i30466000005890.htm?pag=705&f=&geo=p&from=list&lo=55,41.3794378,2.1750553,02,0
532,Alquiler piso en carrer de lope de vega el Poblenou / carrer de lope de vega en Barcelona,Poblenou,1390.0,115.0,4,2,Terraza 10 m,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-el_poblenou_carrer_de_lope_de_vega_calle_de_lope_de_vega_poblenou-barcelona-i500003854748.htm?pag=704&f=&geo=p&from=list&lo=55,41.3850546,2.1733668,68,1
534,Alquiler piso gran oportunidad precio y zona en Sant Gervasi - Galvany Barcelona,Sant Gervasi - Galvany,700.0,46.0,2,1,Balcón / Terraza 4 m,,,https://www.habitaclia.com/alquiler-piso-gran_oportunidad_precio_y_zona_sant_gervasi_galvany-barcelona-i6299003883667.htm?pag=704&f=&geo=p&from=list&lo=55,41.3975944811,2.1413354261,26,1
535,Alquiler piso magnifico piso amueblado de lujo en Pedralbes en Barcelona,Pedralbes,6500.0,285.0,4,4,nan,Amueblado ,Plaza parking ,https://www.habitaclia.com/alquiler-piso-magnifico_amueblado_de_lujo_en_pedralbes_pedralbes-barcelona-i8166003778842.htm?pag=704&f=&geo=p&from=list&lo=55,41.392428,2.116143,21,0
536,Alquiler apartamento  con 2 habitaciones en Barcelona,Sant Gervasi - Bonanova,1000.0,55.0,2,2,nan,,,https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_sant_gervasi_bonanova-barcelona-i11067000000029.htm?pag=704&f=&geo=p&from=list&lo=55,41.40453,2.13966,25,0
537,Alquiler piso vivienda en alquiler en el ensanche izquierdo en Barcelona,Esquerra Alta de l´Eixample,800.0,39.0,2,2,nan,,,https://www.habitaclia.com/alquiler-piso-vivienda_en_en_el_ensanche_izquierdo_esquerra_alta_de_l_eixample-barcelona-i10944000006709.htm?pag=704&f=&geo=p&from=list&lo=55,41.3868782488,2.1504650877,08,0
538,"Alquiler piso port apartment, con sus balcones y vistas a la marina ofrece lujo y arte, idealmente situado en el born, junto a la marina y las playas en Barcelona",St. Pere - Sta. Caterina - El Born,3000.0,60.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-port_apartment_con_sus_balcones_y_vistas_a_la_marina_ofrece_luj_st_pere_sta_caterina_el_born-barcelona-i5903001747667.htm?pag=704&f=&geo=p&from=list&lo=55,41.38137,2.182697,04,0
540,Alquiler piso  reformado 1 habitación en Gòtic Barcelona,Gòtic,600.0,35.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-reformado_1_habitacion_gotic-barcelona-i3974003524016.htm?pag=704&f=&geo=p&from=list&lo=55,41.38081,2.17561,02,0
542,Alquiler piso  de alquiler en la calle independencia en Barcelona,Camp de l´Arpa,1000.0,90.0,4,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-de_en_la_calle_independencia_camp_de_l_arpa-barcelona-i30287000000335.htm?pag=706&f=&geo=p&from=list&lo=55,41.40848998,2.18262766,64,0
543,Alquiler dúplex exclusivo dúplex de diseño en casa bures en Barcelona,Dreta de l´Eixample,11500.0,260.0,4,4,nan,Amueblado ,,https://www.habitaclia.com/alquiler-duplex-exclusivo_de_diseno_en_casa_bures_dreta_de_l_eixample-barcelona-i8166003776388.htm?pag=706&f=&geo=p&from=list&lo=55,41.391374,2.176073,07,0
544,Alquiler piso  muy amplio y luminoso en manuel girona en Barcelona,Pedralbes,2750.0,160.0,5,3,nan,,,https://www.habitaclia.com/alquiler-piso-muy_amplio_y_luminoso_en_manuel_girona_pedralbes-barcelona-i8166003779954.htm?pag=706&f=&geo=p&from=list&lo=55,41.391222,2.125424,21,0
545,Alquiler piso vivienda de 4 habitaciones en Putget - Farró Barcelona,Putget - Farró,1120.0,95.0,4,2,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-vivienda_de_4_habitaciones_putget_farro-barcelona-i5311003984461.htm?pag=706&f=&geo=p&from=list&lo=55,41.4095147401,2.1444779780000003,27,0
546,Alquiler piso  amplio y luminoso cerca de plaza molina en Barcelona,Putget - Farró,1450.0,91.0,4,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amplio_y_luminoso_cerca_de_plaza_molina_putget_farro-barcelona-i8166003780884.htm?pag=706&f=&geo=p&from=list&lo=55,41.401354,2.150705,27,0
547,Alquiler apartamento  2 dormitorios en Barcelona,Gòtic,1293.0,55.0,2,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-2_dormitorios_gotic-barcelona-i30466000003611.htm?pag=706&f=&geo=p&from=list&lo=55,41.3797466,2.1771484,02,0
548,"Alquiler apartamento apartment with a modern, ecological design en Barcelona",Camp d´en Grassot - Gràcia N.,4695.0,70.0,2,2,nan,,,https://www.habitaclia.com/alquiler-apartamento-apartment_with_a_modern_ecological_design_camp_d_en_grassot_gracia_n-barcelona-i30466000001363.htm?pag=706&f=&geo=p&from=list&lo=55,41.4026018,2.1688635,32,0
549,"Alquiler piso espacioso piso reformado de 200m2 en alquiler en Pedralbes. amplio salón de 38m2 con salida a terraza. 5 habitaciones, conserje, 2 plazas de parking. aire acondicionado, radiadores. al lado del lycée y colegios internacionales. en Barcelona",Pedralbes,3200.0,200.0,5,3,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-piso-espacioso_reformado_de_200m2_en_en_pedralbes_ampl_pedralbes-barcelona-i5903001748137.htm?pag=706&f=&geo=p&from=list&lo=55,41.391401,2.1175836,21,0
551,Alquiler piso  de alquiler en la calle berlin. en Barcelona,Les Corts,800.0,55.0,3,1,nan,,,https://www.habitaclia.com/alquiler-piso-de_en_la_calle_berlin_les_corts-barcelona-i5020003990335.htm?pag=702&f=&geo=p&from=list&lo=55,41.3824116045,2.1371519566,19,0
552,Alquiler estudio stylish studio plaça de Sants en Barcelona,Sants,1180.0,70.0,1,2,Balcón / Terraza 5 m,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-estudio-stylish_studio_placa_de_sants_sants-barcelona-i15739002981194.htm?pag=702&f=&geo=p&from=list&lo=55,41.3754190925,2.1334565084,18,1
553,Alquiler piso riera alta (peu de la creu) en Raval Barcelona,Raval,760.0,60.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-riera_alta_peu_de_la_creu_raval-barcelona-i36054000000059.htm?pag=702&f=&geo=p&from=list&lo=55,41.38037,2.166169,01,0
554,Alquiler piso amueblado y equipado en Roquetes Barcelona,Roquetes,800.0,57.0,2,1,nan,Amueblado ,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-amueblado_y_equipado_roquetes-barcelona-i5450004060915.htm?pag=702&f=&geo=p&from=list&lo=55,41.446125894699996,2.1702378485,50,0
555,Alquiler apartamento elegante y exclusiva vivienda de lujo en turo parc en Barcelona,Sant Gervasi - Galvany,15000.0,475.0,4,4,nan,Amueblado ,Plaza parking ,https://www.habitaclia.com/alquiler-apartamento-elegante_y_exclusiva_vivienda_de_lujo_en_turo_parc_sant_gervasi_galvany-barcelona-i8166003780659.htm?pag=708&f=&geo=p&from=list&lo=55,41.39428,2.13508,26,0
556,Alquiler piso  en barrio gotic en St. Pere - Sta. Caterina - El Born Barcelona,St. Pere - Sta. Caterina - El Born,570.0,35.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-en_barrio_gotic_st_pere_sta_caterina_el_born-barcelona-i3846003772854.htm?pag=702&f=&geo=p&from=list&lo=55,41.38244,2.18185,04,0
557,Alquiler piso  reformado en el centro en Raval Barcelona,Raval,700.0,44.0,2,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-reformado_en_el_centro_raval-barcelona-i2531004052204.htm?pag=703&f=&geo=p&from=list&lo=55,41.3807277769,2.1681575253,01,0
558,Alquiler piso en gran via corts catalanes piso alto y soleado en Barcelona,Provençals del Poblenou,850.0,64.0,3,2,nan,,,https://www.habitaclia.com/alquiler-piso-alto_y_soleado_gran_via_corts_catalanes_1010_provenc_als_del_poblenou-barcelona-i1225003952707.htm?pag=703&f=&geo=p&from=list&lo=55,41.4118263,2.1992912,71,0
559,Alquiler apartamento céntrico apartamento en Gòtic Barcelona,Gòtic,1293.0,55.0,2,1,nan,,,https://www.habitaclia.com/alquiler-apartamento-centrico_gotic-barcelona-i30466000003637.htm?pag=706&f=&geo=p&from=list&lo=55,41.3797466,2.1771484,02,0
560,Alquiler piso en Vila de Gràcia Barcelona,Vila de Gràcia,880.0,85.0,3,1,nan,,,https://www.habitaclia.com/alquiler-piso-vila_de_gracia-barcelona-i586001033555.htm?pag=706&f=&geo=p&from=list&lo=55,41.4019953557,2.1621049302,31,0
562,Alquiler piso vivienda en alquiler en el ensanche izquierdo en Barcelona,Esquerra Alta de l´Eixample,800.0,42.0,2,2,nan,,,https://www.habitaclia.com/alquiler-piso-vivienda_en_en_el_ensanche_izquierdo_esquerra_alta_de_l_eixample-barcelona-i10944000006710.htm?pag=700&f=&geo=p&from=list&lo=55,41.3868782488,2.1504650877,08,0
563,Alquiler piso  amueblado en eixample en Esquerra Alta de l´Eixample Barcelona,Esquerra Alta de l´Eixample,1800.0,78.0,2,2,Balcón / Terraza 8 m,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_en_eixample_esquerra_alta_de_l_eixample-barcelona-i5322002255205.htm?pag=701&f=&geo=p&from=list&lo=55,41.396076855,2.1561534685,08,1
564,Alquiler piso  reformado 2 habitaciones en Poble Sec Barcelona,Poble Sec,700.0,55.0,2,1,nan,,,https://www.habitaclia.com/alquiler-piso-reformado_2_habitaciones_poble_sec-barcelona-i3974003524046.htm?pag=701&f=&geo=p&from=list&lo=55,41.37243,2.16055,11,0
566,Alquiler dúplex atico amueblado con piscina en eixample en Barcelona,Esquerra Alta de l´Eixample,2900.0,123.0,3,2,nan,,,https://www.habitaclia.com/alquiler-duplex-atico_amueblado_con_piscina_en_eixample_esquerra_alta_de_l_eixample-barcelona-i8166003777099.htm?pag=702&f=&geo=p&from=list&lo=55,41.38768,2.15557,08,0
567,Alquiler piso muy luminoso en Provençals del Poblenou Barcelona,Provençals del Poblenou,850.0,73.0,3,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-muy_luminoso_provenc_als_del_poblenou-barcelona-i5194001489831.htm?pag=701&f=&geo=p&from=list&lo=55,41.4156713422,2.2023789263999998,71,0
568,Alquiler apartamento propiedad de lujo en travesera de gracia en Barcelona,Sant Gervasi - Galvany,3000.0,123.0,3,2,nan,,Plaza parking ,https://www.habitaclia.com/alquiler-apartamento-propiedad_de_lujo_en_travesera_de_gracia_sant_gervasi_galvany-barcelona-i8166003777624.htm?pag=701&f=&geo=p&from=list&lo=55,41.393826,2.145783,26,0
569,Alquiler piso en Esquerra Alta de l´Eixample Barcelona,Esquerra Alta de l´Eixample,1250.0,90.0,3,2,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-esquerra_alta_de_l_eixample-barcelona-i27861003930246.htm?pag=706&f=&geo=p&from=list&lo=55,41.38947,2.1543267,08,0
570,Alquiler ático en Carmel Barcelona,Carmel,750.0,55.0,3,1,Terraza 20 m,,,https://www.habitaclia.com/alquiler-atico-carmel-barcelona-i5450004080701.htm?pag=701&f=&geo=p&from=list&lo=55,41.4220562,2.1567986,37,1
571,"Alquiler dúplex excelente ático con gran terraza, tres torres en Barcelona",Sant Gervasi - Galvany,6500.0,375.0,5,6,nan,Amueblado ,Plaza parking ,https://www.habitaclia.com/alquiler-duplex-excelente_atico_con_gran_terraza_tres_torres_sant_gervasi_galvany-barcelona-i8166003774822.htm?pag=701&f=&geo=p&from=list&lo=55,41.397617,2.141342,26,0
572,Alquiler piso  amueblado con aire acondicionado en Barcelona,Barceloneta,650.0,38.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-amueblado_con_aire_acondicionado_barceloneta-barcelona-i13456000000017.htm?pag=702&f=&geo=p&from=list&lo=55,41.37824,2.19037,03,0
573,Alquiler ático  con terraza abierta a cocina sagrada familia en Barcelona,Dreta de l´Eixample,1400.0,56.0,1,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-atico-con_terraza_abierta_a_cocina_sagrada_familia_dreta_de_l_eixample-barcelona-i8166003781149.htm?pag=699&f=&geo=p&from=list&lo=55,41.4,2.17,07,0
574,"Alquiler piso appartement de 55m2 meublé et entièrement rénové, avec 2 chambres et 1 salle de bain situé dans la rue naples et entouré de toutes sortes de magasins et transports en commun. en Barcelona",Camp d´en Grassot - Gràcia N.,1300.0,55.0,2,1,nan,Amueblado ,,https://www.habitaclia.com/alquiler-piso-appartement_de_55m2_meuble_et_entierement_renove_avec_2_chambre_camp_d_en_grassot_gracia_n-barcelona-i5903001748152.htm?pag=699&f=&geo=p&from=list&lo=55,41.4046419,2.1670135,32,0
575,Alquiler piso en carrer vallirana nuevo piso en alquiler 105mt2 en Barcelona,Putget - Farró,1590.0,105.0,3,2,nan,,,https://www.habitaclia.com/alquiler-piso-nuevo_en_105mt2_calle_vallirana_putget_farro-barcelona-i500003970547.htm?pag=699&f=&geo=p&from=list&lo=55,41.4040366,2.1478083,27,0
576,Alquiler piso en St. Pere - Sta. Caterina - El Born Barcelona,St. Pere - Sta. Caterina - El Born,615.0,42.0,1,1,nan,,Sin plaza parking,https://www.habitaclia.com/alquiler-piso-st_pere_sta_caterina_el_born-barcelona-i2376002556288.htm?pag=699&f=&geo=p&from=list&lo=55,41.38694,2.17669,04,0
577,"Alquiler piso gran piso en eixample dreta, Sant Antoni en Barcelona",Sant Antoni,1420.0,142.0,4,2,nan,,,https://www.habitaclia.com/alquiler-piso-gran_en_eixample_dreta_sant_antoni_sant_antoni-barcelona-i8166003781120.htm?pag=699&f=&geo=p&from=list&lo=55,41.384007,2.16287,10,0
579,"Alquiler piso muy bonito, un dormitorio en diagonal mar en Barcelona",Diagonal Mar - La Mar Bella,1250.0,40.0,1,1,nan,,,https://www.habitaclia.com/alquiler-piso-muy_bonito_un_dormitorio_en_diagonal_mar_diagonal_mar_la_mar_bella-barcelona-i8166003780869.htm?pag=700&f=&geo=p&from=list&lo=55,41.407639,2.205822,69,0
